model_name,target_name,split,row_count,rmse,mae,r2,rmsle
xgboost,raw,test_2023,173612,540.3649597048282,52.036731193487974,0.8308378620466204,1.6680366440339505
random_forest,raw,test_2023,173612,587.375128439772,52.38394738443026,0.8001243390044186,1.6187083379468206
lightgbm,raw,test_2023,173612,645.0360151924582,59.09336701960529,0.7589557729216165,1.7516436032438887
xgboost,log,test_2023,173612,986.3627390536967,50.31471420346816,0.43635958905265004,0.968277384683982
random_forest,log,test_2023,173612,1077.0167021854973,57.15449459787565,0.327993175341055,1.0684681205039486
lightgbm,log,test_2023,173612,1092.7946298380903,54.23848768302535,0.3081596123275874,0.9915403894480427
linear,raw,test_2023,173612,1284.557347415919,154.4874032092725,0.04404862523467712,2.8582269335773436
linear,log,test_2023,173612,1310.4924770559737,71.9825746405056,0.005057754770903089,1.270330565298989
random_forest,raw,test_2024,173612,835.4418521474607,60.23385370012694,0.6007630759392093,1.5481434572173824
xgboost,raw,test_2024,173612,852.306220369065,61.5358095557917,0.5844822684113791,1.6821666282276482
lightgbm,raw,test_2024,173612,923.4251459943442,64.07809857884672,0.5122451025527979,1.6163439848640466
random_forest,log,test_2024,173612,1196.8019206419003,63.92786536643657,0.18070029172111957,1.2078077151522086
xgboost,log,test_2024,173612,1238.2864920510367,63.060681762010155,0.12291735811033433,1.1506434387639655
lightgbm,log,test_2024,173612,1248.0426662922057,63.88541347802226,0.10904224869734436,1.145201693065022
linear,raw,test_2024,173612,1294.2836151856175,149.96324966268116,0.04179782594825576,2.9331420031998436
linear,log,test_2024,173612,1321.8930765009254,72.948408678138,0.0004813520045590103,1.3070088939361204
xgboost,raw,validation,173612,444.06401166952213,46.59366293272742,0.8836516446649305,1.57473383123033
random_forest,raw,validation,173612,532.2537536652311,47.68341606566462,0.8328499316784057,1.5192162492318317
lightgbm,raw,validation,173612,589.6751597720026,55.11304529396451,0.7948390226287971,1.6626544901706337
xgboost,log,validation,173612,928.1836803211564,48.612316434470266,0.4916802908310107,0.9186562222825883
lightgbm,log,validation,173612,1054.0091607349611,52.95983984279029,0.34452238694872406,0.9566156550145501
random_forest,log,validation,173612,1057.2636878291764,55.86751683389701,0.3404682226339628,1.0302175138268714
linear,raw,validation,173612,1272.8438258595204,155.78106046771103,0.04408487536086603,2.8802618475567585
linear,log,validation,173612,1298.2283845921975,71.51599394485613,0.005576696069116149,1.2703965300421252
