experiment_name,split,row_count,rmse,mae,r2,rmsle
lag_only_linear,test_2023,853764,41.613278534318674,1.3269573509386756,0.9902852962032902,0.16954143783005896
persistence,test_2023,853764,41.65373301216161,1.270297016991815,0.9902663986632252,0.16873435232937292
delta_nonlag_linear,test_2023,853764,41.65638787841225,2.1483473632143233,0.9902651578508735,0.646535499737972
full_linear,test_2023,853764,41.66718503525965,2.14895302673041,0.9902601107383046,0.6235064085755905
delta_with_lag_linear,test_2023,853764,41.68325627456034,2.1475425416662555,0.9902525958424192,0.6453960907525924
no_lag_linear,test_2023,853764,418.6241706587328,34.77882281164211,0.016862420299774694,2.3858335052609276
persistence,test_2024,853764,45.66681004781376,1.2261671751467618,0.988609974525029,0.15525320043206028
delta_nonlag_linear,test_2024,853764,45.71427118393669,2.1586141188592785,0.9885862871047367,0.6633681358076695
delta_with_lag_linear,test_2024,853764,45.738359611209624,2.1575951559141613,0.9885742553770887,0.6619227186471749
lag_only_linear,test_2024,853764,46.56434879429904,1.358637464870598,0.9881578540087823,0.1645403731739346
full_linear,test_2024,853764,46.643275770163896,2.215575703104157,0.988117674904918,0.6369573321117337
no_lag_linear,test_2024,853764,424.4153494284212,34.90802835375461,0.016202968294302567,2.387090720352914
lag_only_linear,validation,853764,50.50207970688395,1.3268272271335229,0.9853710895318142,0.1692293875617715
full_linear,validation,853764,50.558886205756195,2.2833992837055193,0.9853381608061307,0.6770988221654256
persistence,validation,853764,57.056129865391135,1.4013677925855386,0.981327688840813,0.1657792177894334
delta_with_lag_linear,validation,853764,57.08358130601804,2.4679993955928685,0.9813097168840145,0.7168713164866308
delta_nonlag_linear,validation,853764,57.11062997362504,2.4699869977539683,0.9812920001599063,0.7186682916722975
no_lag_linear,validation,853764,414.00176325025814,34.725924411021566,0.01689967980554985,2.386933914646098
