model_name,feature_set,split,row_count,feature_count,rmse,mae,r2,rmsle
xgboost,rf_population,test_2023,173612,15,509.14837095136755,50.44714755659706,0.8498181243189413,1.5497671255325471
random_forest,rf_population,test_2023,173612,15,523.6192272796885,45.302219269067606,0.8411599636098298,1.4284185814583221
xgboost,common_compact,test_2023,173612,11,559.8168970273604,52.336972763589266,0.8184397331497385,1.6081909082249728
random_forest,xgb_compact,test_2023,173612,14,574.6979664590127,50.220945969703614,0.8086589610402579,1.590573603794309
xgboost,xgb_compact,test_2023,173612,14,577.839987861678,58.16097033091669,0.8065610204670716,1.76150192138205
random_forest,common_compact,test_2023,173612,11,580.7728794533058,48.484542510266095,0.8045923947018078,1.489596919867287
xgboost,full_with_population,test_2023,173612,50,581.6443904694443,57.10114197706319,0.8040054951988918,1.689678519772611
random_forest,full_with_population,test_2023,173612,50,584.7006052048628,52.9739295771853,0.8019404017801857,1.6267526854393788
random_forest,rf_compact,test_2023,173612,14,616.1718019990146,52.81612699542961,0.7800457051675762,1.6342100096893846
xgboost,rf_compact,test_2023,173612,14,638.676693669142,60.88390897238741,0.76368518799239,1.7184215864060441
random_forest,rf_population,test_2024,173612,15,676.5495738270293,55.90705299887893,0.7381832094105256,1.5356446778556863
xgboost,rf_population,test_2024,173612,15,763.1570071167529,62.62755985077987,0.6668605705760702,1.618133707407787
random_forest,full_with_population,test_2024,173612,50,812.0627826559312,60.291780276761926,0.6227949840782188,1.5610547740351783
random_forest,common_compact,test_2024,173612,11,839.8203107621213,62.1183209853317,0.5965673967461471,1.5928108486202441
random_forest,xgb_compact,test_2024,173612,14,852.44982318793,61.60654599079784,0.5843422376503736,1.5561518877405434
xgboost,full_with_population,test_2024,173612,50,863.2704783734356,62.40781903458025,0.573722878884512,1.6422711914094343
xgboost,common_compact,test_2024,173612,11,911.5281628966909,68.78371096224485,0.524732159944124,1.7362493590490118
xgboost,xgb_compact,test_2024,173612,14,932.1099668361379,64.93694483275631,0.50302728121703,1.6417966858757984
random_forest,rf_compact,test_2024,173612,14,941.3047445903528,63.95650386393686,0.49317416947651627,1.5474218791477077
xgboost,rf_compact,test_2024,173612,14,1075.9817751521111,68.5082081131751,0.33777118183210586,1.6869842783042164
xgboost,common_compact,validation,173612,11,466.1723567275305,49.0750560889316,0.8717781240522449,1.569311444873838
xgboost,xgb_compact,validation,173612,14,468.1431922600697,50.286436408698854,0.8706916657756709,1.603051480365039
xgboost,rf_population,validation,173612,15,480.2188299321523,50.18321446421709,0.8639346750909925,1.5464869463331135
random_forest,rf_population,validation,173612,15,497.1346111610314,43.49337230287979,0.8541800002186559,1.41282164260474
random_forest,xgb_compact,validation,173612,14,504.4941397273427,44.517792188820145,0.8498306350713105,1.485935073347301
random_forest,common_compact,validation,173612,11,510.2843375323311,44.61445612575842,0.8463637955363836,1.4540182908010395
xgboost,rf_compact,validation,173612,14,511.53238494743226,52.66182078122676,0.8456113532688722,1.601499489252808
xgboost,full_with_population,validation,173612,50,521.2414447795205,53.67331705127515,0.8396950354685578,1.6084918679006421
random_forest,rf_compact,validation,173612,14,534.8074041456122,46.211992908316695,0.8312421767156316,1.4961908815952434
random_forest,full_with_population,validation,173612,50,538.5858848488913,48.33048427221156,0.8288491630601782,1.5174796936499342
