state_abbr,year,total_export_value_usd,vessel_export_value_usd,container_export_value_usd,china_export_value_usd,canada_export_value_usd,mexico_export_value_usd,total_import_value_usd,vessel_import_value_usd,container_import_value_usd,china_import_value_usd,canada_import_value_usd,mexico_import_value_usd,china_trade_value_usd,canada_trade_value_usd,mexico_trade_value_usd,total_trade_value_usd,total_vessel_trade_value_usd,total_container_trade_value_usd,import_intensity,export_intensity,maritime_share,container_share,china_trade_share,canada_trade_share,mexico_trade_share,trade_war_partner_exposure,state_fips
AL,2025,23669519775,13806669643,3125894834,2008430390,4304874125,4016904017,34910896711,24036209995,19210891588,2856997375,3314135866,6513091774,4865427765,7619009991,10529995791,58580416486,37842879638,22336786422,0.5959482503737964,0.40405174962620355,0.64599881509965,0.38130125666379,0.08305553386024112,0.13006070028233496,0.17975283247630272,0.2689436535154237,01
AR,2018,6449271293,2792738752,2008464810,307175372,1211963635,870092445,11496375801,7231570071,7034218854,5164195856,898603885,900070032,5471371228,2110567520,1770162477,17945647094,10024308823,9042683664,0.6406219703742938,0.3593780296257062,0.5585927757573901,0.5038928725519938,0.3048857028860951,0.11760888358858083,0.09864021440563385,0.43463516168262395,05
AR,2019,6230902809,2314639520,1858887485,191177084,1536345271,744982843,9621432399,5305024825,5072112118,3351509467,758492558,1036615379,3542686551,2294837829,1781598222,15852335208,7619664345,6930999603,0.6069410135955535,0.3930589864044465,0.4806651035965149,0.4372226244308926,0.2234804213080327,0.14476339283072268,0.11238711512363826,0.3777707260806492,05
AR,2020,5193142246,1900693478,1541617934,276816381,1150272768,712000188,8621182549,5011840642,4843010665,3145439402,757027956,775239664,3422255783,1907300724,1487239852,13814324795,6912534120,6384628599,0.6240755648166298,0.3759244351833701,0.5003888516145172,0.46217449594864546,0.2477323961746333,0.1380668800179314,0.10765925038466566,0.3951680744161915,05
AR,2021,5584948328,1877051690,1576206730,261915559,1269505440,982545096,9874354167,5889147945,5580763750,3311770836,1045691919,838514885,3573686395,2315197359,1821059981,15459302495,7766199635,7156970480,0.6387321918433034,0.3612678081566965,0.502364167950774,0.4629555882171772,0.2311673761578724,0.1497607902910758,0.11779703395990765,0.39170207070846247,05
AR,2022,5809529005,2015471401,1636717231,292766261,1457683329,1027486301,7562177808,3651982309,3216390484,1427704134,1060219182,994121434,1720470395,2517902511,2021607735,13371706813,5667453710,4853107715,0.5655357175979985,0.4344642824020015,0.42383921433949556,0.36293853753073607,0.12866498039931262,0.18830075668067223,0.1511854666925982,0.33235671442327486,05
AR,2023,6324687792,2305158399,1897445328,303217282,1641416085,1099827558,6831603609,3076084598,2703722191,889931317,1145974028,911649976,1193148599,2787390113,2011477534,13156291401,5381242997,4601167519,0.5192651485722439,0.48073485142775607,0.40902430882543206,0.349731347441139,0.09069034446206548,0.21186746538527815,0.15289092288174075,0.3095453774222768,05
AR,2024,6930936398,2027271752,1581718556,226005685,1520361340,1597005794,7178890039,3001736951,2647202674,1037209388,1278358333,964289117,1263215073,2798719673,2561294911,14109826437,5029008703,4228921230,0.5087865588604901,0.4912134411395099,0.35641889185911607,0.2997146172479173,0.08952732896043915,0.19835252300913897,0.18152561425444272,0.31745421131858814,05
AR,2025,6644871437,1939003188,1661399819,170080423,1293274178,1496726226,6672934666,2986394322,2692853768,849819111,1066809677,948792889,1019899534,2360083855,2445519115,13317806103,4925397510,4354253587,0.5010535980469666,0.49894640195303347,0.3698355023272559,0.32694976584913266,0.07658164761613814,0.1772126607601204,0.18362777593293814,0.29308590963197323,05
AZ,2018,22515523538,2553281740,2304508470,1199018694,2244929452,7652965178,22350851510,4603311871,4325700948,3396845052,1539013613,8995543524,4595863746,3783943065,16648508702,44866375048,7156593611,6630209418,0.49816486146001515,0.5018351385399848,0.15950906671964393,0.1477768019124949,0.10243447885154852,0.08433806076269307,0.3710687276203772,0.37567855188139065,04
AZ,2019,24966212607,3129392260,2673691170,1086969942,2210765648,7808176854,26476538433,5193831998,4912608559,3200788547,2617366889,9269013549,4287758489,4828132537,17077190403,51442751040,8323224258,7586299729,0.5146796759063841,0.485320324093616,0.16179586219112127,0.1474707237779949,0.08335010088527334,0.09385447783004103,0.331964952452123,0.3388417590545717,04
AZ,2020,20215649648,2318823737,2087327009,874813338,1933760909,6653685629,25597387842,4948839592,4674204766,2970097309,2231287419,8953948024,3844910647,4165048328,15607633653,45813037490,7267663329,6761531775,0.5587358805359143,0.4412641194640858,0.15863744748613043,0.14758968506456044,0.08392612360268104,0.09091404011159794,0.34068104862959175,0.34288317684739483,04
AZ,2021,24083359966,2398008759,2169428972,1515736025,2313571954,7426755026,27950671142,5869824160,5560948352,3676629948,2330009939,9352608546,5192365973,4643581893,16779363572,52034031108,8267832919,7730377324,0.5371613643383994,0.46283863566160055,0.15889280040286669,0.14856387559047848,0.0997878861667071,0.0892412483545998,0.3224690306459891,0.3468140535670604,04
AZ,2022,27176455367,2792934247,2601221311,1604926751,2605832385,8041431816,33036180696,8037128593,7555367883,4300797983,2583682566,10866659095,5905724734,5189514951,18908090911,60212636063,10830062840,10156589194,0.548658601517371,0.451341398482629,0.17986362245739568,0.16867870032086357,0.09808115239832528,0.0861864766320852,0.3140219752414861,0.3382062235224681,04
AZ,2023,28838092871,3296290271,2897422091,1599095784,2851689803,7946964774,35343326835,9432877267,8935257109,3912683308,2595525229,11719263198,5511779092,5447215032,19666227972,64181419706,12729167538,11832679200,0.5506784829145175,0.44932151708548246,0.19833103718037595,0.18436300185011056,0.08587811109894677,0.08487214924432043,0.3064162192436124,0.3206511321917065,04
AZ,2024,32397970318,3225175329,2931310432,1717456144,2997271014,8898926562,42206430337,11364412769,10920152057,5366340001,2697019963,11592928113,7083796145,5694290977,20491854675,74604400655,14589588098,13851462489,0.565736470857518,0.43426352914248206,0.1955593499834946,0.1856654884616605,0.09495145169462926,0.07632647574414053,0.27467353795605665,0.3055514599147476,04
AZ,2025,44425022665,3507447494,3277133321,1563251979,2781206176,14559593148,57401689731,8762911994,8470165279,2826956293,2773313366,13997838864,4390208272,5554519542,28557432012,101826712396,12270359488,11747298600,0.5637193657767043,0.43628063422329566,0.12050236327262599,0.11536558849425706,0.04311450471784512,0.05454874670212956,0.2804512817907868,0.24411452181359494,04
CA,2018,178175235647,49891121093,36451664950,16369306630,17687926485,30763240965,440198629909,249054481940,183021500634,160936842981,27095106823,43688253643,177306149611,44783033308,74451494608,618373865556,298945603033,219473165584,0.7118648675639019,0.2881351324360981,0.4834382882016017,0.35491985966558365,0.286729694586265,0.07242064356606359,0.1203988375884195,0.4024213832789548,06
CA,2019,173754507727,52313661242,36360515348,15865303268,16664220870,27858676129,407516155058,227891579434,173179674737,128892384051,26907425529,46364386905,144757687319,43571646399,74223063034,581270662785,280205240676,209540190085,0.7010781399245187,0.2989218600754812,0.4820563957820836,0.36048643687098414,0.24903663058691622,0.07495930758011823,0.12769105304296696,0.3706268469607673,06
CA,2020,155919092901,45499267532,33984938338,15011418713,16029430773,24069739707,395290855951,210712073729,175915024140,129932316886,26519093797,47580684861,144943735599,42548524570,71650424568,551209948852,256211341261,209899962478,0.7171330212276986,0.2828669787723014,0.46481624976945546,0.38079857396470573,0.26295558688821385,0.07719114043317873,0.12998753871773486,0.38726279437876204,06
CA,2021,174809803490,46239961525,35022714996,16637550169,18054042090,27209385242,469816539848,256683146845,207419364519,145766636940,28025780989,57326119102,162404187109,46079823079,84535504344,644626343338,302923108370,242442079515,0.7288199508186386,0.2711800491813614,0.46992046090050477,0.37609707083888005,0.25193538673588745,0.07148299717381973,0.13113876778019773,0.37350844570829794,06
CA,2022,186312343615,50071318842,35738624563,18325387205,20580184568,30702211515,508398199824,293340209912,222604878582,147884877421,23776559547,60240459902,166210264626,44356744115,90942671417,694710543439,343411528754,258343503145,0.7318129897774333,0.26818701022256675,0.49432318538599196,0.37187214960943543,0.23925110421272067,0.06384924560871416,0.13090728545274388,0.3561050228495955,06
CA,2023,179033232750,47612444620,34135106562,16899680393,19411488226,33282656481,450157037650,263064212107,199668069653,120628872771,15664797949,61266790740,137528553164,35076286175,94549447221,629190270400,310676656727,233803176215,0.7154545434464811,0.28454545655351887,0.49377218838665626,0.3715937566332081,0.21858022864302704,0.055748297176783555,0.15027162953567502,0.34219218467050216,06
CA,2024,183933700133,46495696051,34603877705,15024728488,19493733238,33471792945,491467418851,279486634105,209782183261,122788985386,16254797351,64270583761,137813713874,35748530589,97742376706,675401118984,325982330156,244386060966,0.727667463137032,0.272332536862968,0.48264997050400565,0.36183840105806725,0.20404720987331493,0.05292933278342239,0.1447175226079474,0.3226353231081368,06
CA,2025,188403696924,45884701669,33794177881,10272126838,16958396948,34907090830,488218728115,249147291235,187320742445,75939803119,15425527580,61560961415,86211929957,32383924528,96468052245,676622425039,295031992904,221114920326,0.7215526858821735,0.2784473141178266,0.4360363800933653,0.326792184449481,0.12741512365930055,0.04786114578767237,0.1425729456711986,0.24167557853462313,06
CO,2018,8331661875,2257250703,2049942683,576759812,1446862402,1254214135,13478189533,3499400420,3156081116,1999521726,3924491926,1522419865,2576281538,5371354328,2776634000,21809851408,5756651123,5206023799,0.6179863072361927,0.3820136927638072,0.26394728764123637,0.23870056249399277,0.11812467172770387,0.24628110607070672,0.12731100033911794,0.34227993557359865,08
CO,2019,8097072083,2158276478,1957744230,524258555,1446225065,1059280517,13098443608,3563569156,3222912068,1748550371,3733478536,1514059672,2272808926,5179703601,2573340189,21195515691,5721845634,5180656298,0.6179818315796788,0.38201816842032127,0.26995548102797984,0.24442228127526996,0.10723065006458304,0.24437733322994334,0.12140965223567016,0.3267028413439511,08
CO,2020,8174419117,1928636354,1759945521,504480555,1283845572,1047843682,12012789481,3382793070,3089610738,1674315919,2926863286,1236208362,2178796474,4210708858,2284052044,20187208598,5311429424,4849556259,0.5950693689364333,0.40493063106356675,0.2631086610224168,0.24022916469394676,0.10792955665083181,0.20858301619854297,0.11314353011769478,0.30096548444057447,08
CO,2021,9095133737,2422115126,2121189096,920971894,1605844892,1419394485,16223113761,4163999165,3818764741,2005724175,4875833315,1335884545,2926696069,6481678207,2755279030,25318247498,6586114291,5939953837,0.6407676424792647,0.3592323575207354,0.26013310326950023,0.23461157165278612,0.11559631326106566,0.25600816989848985,0.10882581941019621,0.3344967068462773,08
CO,2022,10290276518,2549333731,2311612487,915222227,1716431992,1442412814,20128946855,4797180733,4465307454,2165760484,6169832176,1522505154,3080982711,7886264168,2964917968,30419223373,7346514464,6776919941,0.6617179738016055,0.3382820261983945,0.24150894235257633,0.22278412101129352,0.10128406873578073,0.2592526466339644,0.09746856228524398,0.31531679408730573,08
CO,2023,10395892988,2218113177,1965670366,894662525,1866357554,1605774243,17724628754,5108630008,4772796274,1986547911,5472980405,1224132680,2881210436,7339337959,2829906923,28120521742,7326743185,6738466640,0.6303093846060119,0.369690615393988,0.26054791060497956,0.23962808022639284,0.10245935201467857,0.2609957961070892,0.10063493661190975,0.3194377916460779,08
CO,2024,10577393479,2521167323,1867493759,759078738,1699367629,1737286933,16752837890,5214367277,4921130212,1804615635,5345569444,1090416224,2563694373,7044937073,2827703157,27330231369,7735534600,6788623971,0.6129782680509,0.3870217319490999,0.28303948457510036,0.24839248081522525,0.09380434209964042,0.2577708537437007,0.10346429632525515,0.31054543214101393,08
CO,2025,11029003646,2444870616,1871375427,645756772,1582660147,1706002344,16411185707,4722602347,4475461525,1321920760,5340344400,1014738631,1967677532,6923004547,2720740975,27440189353,7167472963,6346836952,0.5980711538058605,0.40192884619413943,0.2612034804423239,0.2312971266470546,0.07170787004007596,0.25229434308707194,0.09915168368554078,0.2825754861036436,08
CT,2018,17403470211,1980542393,1582365170,942640771,1964095260,947651956,19847181637,7387095071,5292220305,2297197190,3577188140,2500337615,3239837961,5541283400,3447989571,37250651848,9367637464,6874585475,0.5328009216586529,0.46719907834134716,0.2514757997316214,0.18454940072059703,0.08697399374969456,0.1487566827719154,0.09256185865067282,0.23176511860324747,09
CT,2019,16230612737,1972481408,1571260812,1262442731,1952863056,810080027,20063273335,7307489405,4903885433,1974212871,4277530346,2950029950,3236655602,6230393402,3760109977,36293886072,9279970813,6475146245,0.5528003613390524,0.44719963866094764,0.25568964410673317,0.17840873342012953,0.0891790864053275,0.17166509504218186,0.10360174629800387,0.25433919120943893,09
CT,2020,13827172814,1951379291,1573528357,1097975394,1670809543,753790790,17953907136,6251027737,4533251344,1596453540,4029318762,2946514312,2694428934,5700128305,3700305102,31781079950,8202407028,6106779701,0.5649243878510806,0.43507561214891943,0.2580908842904188,0.19215142187136405,0.08478091173235917,0.17935602924657695,0.11643106866794814,0.2622531704810742,09
