year,base_interstate_total,shock_interstate_total,loss_abs,loss_pct
2025,2751381.050920925,2751381.050920925,0.0,0.0
2026,2769426.7783944895,2686214.9232073072,83211.85518718231,0.0300465987533429
2027,2794253.578056054,2756308.2823072695,37945.29574878467,0.013579760994770915
2028,2817088.2458876525,2797961.856775457,19126.389112195466,0.006789417811144507
2029,2839232.13687576,2836125.984681102,3106.1521946578287,0.001094011354096528
2030,2860548.010343396,2858983.2077623988,1564.8025809973478,0.0005470289522634162
2031,2880781.837694029,2880781.837694029,0.0,0.0
