year,base_total,shock_total,loss_abs,loss_pct
2025,13020992.848952964,13020992.848952964,0.0,0.0
2026,13198503.482990287,13115291.627803104,83211.85518718325,0.006304643196436885
2027,13432194.059089985,13394248.7633412,37945.29574878514,0.0028249514250507997
2028,13654471.576728093,13635345.187615896,19126.389112196863,0.001400741801300813
2029,13874534.876672963,13871428.724478306,3106.1521946564317,0.00022387432964536753
2030,14090640.915099196,14089076.112518199,1564.8025809973478,0.00011105261928295558
2031,14302531.882912468,14302531.882912468,0.0,0.0
