state_fips,state_abbr,avg_touch_2025_2031,touch_2026,touch_2031,partner_count_2031,commodity_count_2031,internal_share_2031,interstate_share_2031,touch_cagr_2026_2031,volume_rank_pct,growth_rank_pct,partner_rank_pct,commodity_rank_pct,hub_score,hub_rank_2031,hub_type
06,CA,897801.5177439986,851872.5048711684,946633.5201191343,49,42,0.7825447140841544,0.21745528591584556,0.021319103890138802,0.9803921568627451,0.9803921568627451,0.5392156862745098,0.6078431372549019,77.69607843137256,1,Internal
12,FL,704398.035624846,662149.8186747787,746939.0424187559,49,42,0.8488485878364209,0.15115141216357902,0.024391058946616084,0.9411764705882353,1.0,0.5392156862745098,0.6078431372549019,77.20588235294117,2,Internal
48,TX,1772512.7394432747,1696682.6193262138,1845478.7938186503,49,42,0.8000852442449117,0.19991475575508824,0.016954891586084875,1.0,0.5882352941176471,0.5392156862745098,0.6078431372549019,68.38235294117648,3,Internal
53,WA,362379.61148806865,347117.22502373194,381109.48108743614,49,42,0.7988158177422247,0.2011841822577754,0.018860481429998632,0.6862745098039216,0.9019607843137255,0.5392156862745098,0.6078431372549019,68.38235294117648,4,Internal
36,NY,575208.031181106,551981.7233646999,601091.5829804805,49,42,0.6170380983839671,0.382961901616033,0.017192594514196413,0.9215686274509803,0.6470588235294118,0.5392156862745098,0.6078431372549019,67.8921568627451,5,Internal
31,NE,319822.9704069692,306588.9777505074,336963.4751270592,49,42,0.7180814481584934,0.2819185518415066,0.019072913078479914,0.5882352941176471,0.9215686274509803,0.5392156862745098,0.6078431372549019,66.42156862745098,6,Internal
22,LA,340876.6390275696,326499.29520972306,357632.54982159974,49,42,0.7265996609782277,0.27340033902177235,0.01838257140454158,0.6078431372549019,0.8235294117647058,0.5392156862745098,0.6078431372549019,64.46078431372548,7,Internal
17,IL,796156.7603336147,768738.618219957,830566.4261237972,49,42,0.6486547320297237,0.3513452679702763,0.015591680535650854,0.9607843137254902,0.39215686274509803,0.5392156862745098,0.6078431372549019,62.5,8,Internal
01,AL,342167.20332397847,328736.4185271573,359015.2000663285,49,42,0.667729005565135,0.332270994434865,0.017777869517589195,0.6274509803921569,0.7254901960784313,0.5392156862745098,0.6078431372549019,62.5,9,Internal
41,OR,245728.48267033402,235580.63739460643,258488.6079886841,49,42,0.7601922934254209,0.23980770657457903,0.01873297301350152,0.47058823529411764,0.8627450980392157,0.5392156862745098,0.6078431372549019,62.00980392156863,10,Internal
27,MN,441567.518037468,425964.7374870542,462095.0910780144,49,42,0.6649653947298576,0.3350346052701424,0.01641611320560532,0.803921568627451,0.5098039215686274,0.5392156862745098,0.6078431372549019,61.51960784313726,11,Internal
18,IN,509215.583695032,492548.4741013133,531153.9436724129,49,42,0.549355782607342,0.45064421739265803,0.015206258635775294,0.8627450980392157,0.35294117647058826,0.5392156862745098,0.6078431372549019,59.068627450980394,12,Backbone
55,WI,439386.81893392745,424712.2159327525,459564.4141549454,49,42,0.6998094506969627,0.30019054930303735,0.015898520639021196,0.7647058823529411,0.43137254901960786,0.5392156862745098,0.6078431372549019,58.57843137254902,13,Internal
20,KS,316375.7337748924,304447.2333235192,331503.3243538033,49,42,0.6968027760239103,0.30319722397608956,0.017173814030033485,0.5686274509803921,0.6274509803921569,0.5392156862745098,0.6078431372549019,58.57843137254902,14,Internal
08,CO,206095.50456421534,198176.86509517292,216931.37784348265,49,42,0.7787081290652212,0.22129187093477876,0.018248746459160747,0.4117647058823529,0.7843137254901961,0.5392156862745098,0.6078431372549019,58.57843137254902,15,Internal
42,PA,576867.9857347371,558983.427126145,600895.6027231682,49,42,0.5291690413963586,0.4708309586036414,0.014565333209139775,0.9019607843137255,0.2549019607843137,0.5392156862745098,0.6078431372549019,57.59803921568627,16,Backbone
39,OH,560328.7758754607,542601.9670453687,584058.7446861813,49,42,0.5594509464831222,0.44054905351687773,0.01483405702208529,0.8823529411764706,0.27450980392156865,0.5392156862745098,0.6078431372549019,57.59803921568627,17,Backbone
40,OK,254714.17812557291,244296.44953257765,266065.3421502451,49,42,0.6310007432762432,0.3689992567237567,0.017218453810394996,0.49019607843137253,0.6666666666666666,0.5392156862745098,0.6078431372549019,57.59803921568627,18,Internal
46,SD,167252.35288953458,160571.31163610675,175871.32559679454,49,42,0.670668087189835,0.32933191281016516,0.018369576493544093,0.3333333333333333,0.803921568627451,0.5392156862745098,0.6078431372549019,57.107843137254896,19,Internal
51,VA,383639.54651278246,371128.26322064945,401264.9017481833,49,42,0.6331725538791424,0.36682744612085766,0.015737365532764613,0.7058823529411765,0.4117647058823529,0.5392156862745098,0.6078431372549019,56.61764705882353,20,Internal
32,NV,105124.96307647052,100411.63540362605,110193.91203857426,49,42,0.5879862860715371,0.412013713928463,0.018766632584838572,0.23529411764705882,0.8823529411764706,0.5392156862745098,0.6078431372549019,56.61764705882353,21,Backbone
35,NM,91038.45730069671,87023.0187982682,95691.12082784156,49,42,0.6763254541018401,0.32367454589815997,0.019172036819636418,0.17647058823529413,0.9411764705882353,0.5392156862745098,0.6078431372549019,56.61764705882353,22,Internal
47,TN,442512.4788032464,428421.53568988165,461254.80664006365,49,42,0.59418392298908,0.40581607701092015,0.014878196422200896,0.7843137254901961,0.3137254901960784,0.5392156862745098,0.6078431372549019,56.127450980392155,23,Backbone
37,NC,409708.77332879056,396391.96300322027,427571.90598746046,49,42,0.5993519929531186,0.40064800704688136,0.015259037829810085,0.7254901960784313,0.37254901960784315,0.5392156862745098,0.6078431372549019,56.127450980392155,24,Backbone
45,SC,299640.60683762626,289086.1057116492,313901.30656124523,49,42,0.6548590852373881,0.3451409147626119,0.01660719931416521,0.5490196078431373,0.5490196078431373,0.5392156862745098,0.6078431372549019,56.127450980392155,25,Internal
