state_fips,state_abbr,avg_touch_2025_2031,touch_2026,touch_2031,partner_count_2031,commodity_count_2031,internal_share_2031,interstate_share_2031,touch_cagr_2026_2031,volume_rank_pct,growth_rank_pct,partner_rank_pct,commodity_rank_pct,hub_score,hub_rank_2031,hub_type,next_rank
34,NJ,350950.6208901596,313294.5299599066,373747.7149865215,49,42,0.4885145080806131,0.511485491919387,0.03591744514928097,0.6470588235294118,1.0,0.5392156862745098,0.6078431372549019,69.85294117647058,5,Backbone,1
53,WA,361718.1427630362,345727.9539679672,381109.48108743614,49,42,0.7988158177422247,0.2011841822577754,0.01967800495326233,0.6862745098039216,0.8431372549019608,0.5392156862745098,0.6078431372549019,66.91176470588235,7,Internal,2
31,NE,319649.71873240045,305878.24802147277,336963.4751270592,49,42,0.7180814481584934,0.2819185518415066,0.019546051123234598,0.5882352941176471,0.8235294117647058,0.5392156862745098,0.6078431372549019,63.970588235294116,9,Internal,3
01,AL,341756.5679659898,326785.8318771529,359015.2000663285,49,42,0.667729005565135,0.332270994434865,0.01899000334716061,0.6274509803921569,0.7450980392156863,0.5392156862745098,0.6078431372549019,62.99019607843137,10,Internal,4
41,OR,244867.6668491954,232984.01277414188,258488.6079886841,49,42,0.7601922934254209,0.23980770657457903,0.020993688377229924,0.47058823529411764,0.9019607843137255,0.5392156862745098,0.6078431372549019,62.99019607843137,11,Internal,5
45,SC,298779.15827526397,285496.6834223706,313901.30656124523,49,42,0.6548590852373881,0.3451409147626119,0.019150709564184742,0.5490196078431373,0.803921568627451,0.5392156862745098,0.6078431372549019,62.5,12,Internal,6
13,GA,473750.27495800686,432023.4886252885,503843.90186546964,49,41,0.6345948287387205,0.36540517126127936,0.03123520159859683,0.8431372549019608,0.9411764705882353,0.5392156862745098,0.10784313725490197,60.78431372549019,14,Internal,7
27,MN,441253.52290211775,424566.08921017643,462095.0910780144,49,42,0.6649653947298576,0.3350346052701424,0.017084908520708764,0.803921568627451,0.4117647058823529,0.5392156862745098,0.6078431372549019,59.068627450980394,16,Internal,8
55,WI,438893.21099437546,422104.02586155315,459564.4141549454,49,42,0.6998094506969627,0.30019054930303735,0.01715088097380013,0.7647058823529411,0.45098039215686275,0.5392156862745098,0.6078431372549019,59.068627450980394,17,Internal,9
32,NV,103415.2704637575,94476.09026529716,110193.91203857426,49,42,0.5879862860715371,0.412013713928463,0.031257542132022254,0.23529411764705882,0.9607843137254902,0.5392156862745098,0.6078431372549019,58.57843137254902,18,Backbone,10
37,NC,408816.2009347705,392730.48556145804,427571.90598746046,49,42,0.5993519929531186,0.40064800704688136,0.01714509573351153,0.7254901960784313,0.43137254901960786,0.5392156862745098,0.6078431372549019,57.59803921568627,20,Backbone,11
20,KS,316266.18199295044,303996.17343241756,331503.3243538033,49,42,0.6968027760239103,0.30319722397608956,0.01747548509508312,0.5686274509803921,0.5490196078431373,0.5392156862745098,0.6078431372549019,56.61764705882353,22,Internal,12
51,VA,383263.1922895575,369504.2328144696,401264.9017481833,49,42,0.6331725538791424,0.36682744612085766,0.016628665692372202,0.7058823529411765,0.3333333333333333,0.5392156862745098,0.6078431372549019,54.656862745098046,23,Internal,13
49,UT,175097.15104070352,167546.6401116325,183943.6234285243,49,42,0.746017269570044,0.2539827304299561,0.01884895139873044,0.35294117647058826,0.6862745098039216,0.5392156862745098,0.6078431372549019,54.656862745098046,24,Internal,14
08,CO,205979.06022255038,197784.85713526257,216931.37784348265,49,42,0.7787081290652212,0.22129187093477876,0.018652058968872343,0.4117647058823529,0.6274509803921569,0.5392156862745098,0.6078431372549019,54.65686274509803,25,Internal,15
