year,base_total,shock_total,loss_abs,loss_pct
2025,13020992.848952964,13020992.848952964,0.0,0.0
2026,13198503.482990287,13024711.307539016,173792.17545127124,0.013167566737793247
2027,13432194.059089985,13356141.627962861,76052.43112712353,0.005661951487043658
2028,13654471.576728093,13616091.541452082,38380.03527601063,0.0028108034104683617
2029,13874534.876672963,13864406.451447317,10128.425225645304,0.0007300010642283992
2030,14090640.915099196,14085535.119327843,5105.795771352947,0.00036235369293114957
2031,14302531.882912468,14302531.882912468,0.0,0.0
