state_fips,state_abbr,avg_touch_2025_2031,touch_2026,touch_2031,partner_count_2031,commodity_count_2031,internal_share_2031,interstate_share_2031,touch_cagr_2026_2031,volume_rank_pct,growth_rank_pct,partner_rank_pct,commodity_rank_pct,hub_score,hub_rank_2031,hub_type
06,CA,881068.5515784497,793949.3948922505,946633.5201191343,49,42,0.7825447140841544,0.21745528591584556,0.03580454262559174,0.9803921568627451,0.9803921568627451,0.5392156862745098,0.6078431372549019,77.69607843137256,1,Internal
17,IL,793425.4239582301,751765.2554313407,830566.4261237972,49,42,0.6486547320297237,0.3513452679702763,0.020136823362816747,0.9607843137254902,0.8627450980392157,0.5392156862745098,0.6078431372549019,74.26470588235294,2,Internal
26,MI,447178.94355240243,422446.3183750331,467734.4992448253,49,42,0.5651439177549207,0.4348560822450793,0.02057652560612211,0.8235294117647058,0.8823529411764706,0.5392156862745098,0.6078431372549019,71.32352941176471,3,Backbone
12,FL,709517.085524391,679905.7420931568,746939.0424187559,49,42,0.8488485878364209,0.15115141216357902,0.018983825219173633,0.9411764705882353,0.7254901960784313,0.5392156862745098,0.6078431372549019,70.34313725490196,4,Internal
34,NJ,350950.6208901596,313294.5299599066,373747.7149865215,49,42,0.4885145080806131,0.511485491919387,0.03591744514928097,0.6470588235294118,1.0,0.5392156862745098,0.6078431372549019,69.85294117647058,5,Backbone
36,NY,573574.1806608139,547965.104665029,601091.5829804805,49,42,0.6170380983839671,0.382961901616033,0.018679458504933022,0.9215686274509803,0.6666666666666666,0.5392156862745098,0.6078431372549019,68.38235294117648,6,Internal
53,WA,361718.1427630362,345727.9539679672,381109.48108743614,49,42,0.7988158177422247,0.2011841822577754,0.01967800495326233,0.6862745098039216,0.8431372549019608,0.5392156862745098,0.6078431372549019,66.91176470588235,7,Internal
42,PA,574213.9231715722,548674.7750295094,600895.6027231682,49,42,0.5291690413963586,0.4708309586036414,0.018349387068186562,0.9019607843137255,0.5882352941176471,0.5392156862745098,0.6078431372549019,65.93137254901961,8,Backbone
31,NE,319649.71873240045,305878.24802147277,336963.4751270592,49,42,0.7180814481584934,0.2819185518415066,0.019546051123234598,0.5882352941176471,0.8235294117647058,0.5392156862745098,0.6078431372549019,63.970588235294116,9,Internal
01,AL,341756.5679659898,326785.8318771529,359015.2000663285,49,42,0.667729005565135,0.332270994434865,0.01899000334716061,0.6274509803921569,0.7450980392156863,0.5392156862745098,0.6078431372549019,62.99019607843137,10,Internal
41,OR,244867.6668491954,232984.01277414188,258488.6079886841,49,42,0.7601922934254209,0.23980770657457903,0.020993688377229924,0.47058823529411764,0.9019607843137255,0.5392156862745098,0.6078431372549019,62.99019607843137,11,Internal
45,SC,298779.15827526397,285496.6834223706,313901.30656124523,49,42,0.6548590852373881,0.3451409147626119,0.019150709564184742,0.5490196078431373,0.803921568627451,0.5392156862745098,0.6078431372549019,62.5,12,Internal
18,IN,508367.95482377714,487738.4315761679,531153.9436724129,49,42,0.549355782607342,0.45064421739265803,0.017200784844453976,0.8627450980392157,0.47058823529411764,0.5392156862745098,0.6078431372549019,62.00980392156863,13,Backbone
13,GA,473750.27495800686,432023.4886252885,503843.90186546964,49,41,0.6345948287387205,0.36540517126127936,0.03123520159859683,0.8431372549019608,0.9411764705882353,0.5392156862745098,0.10784313725490197,60.78431372549019,14,Internal
47,TN,441278.87266521686,423528.93237011204,461254.80664006365,49,42,0.59418392298908,0.40581607701092015,0.017212209388117516,0.7843137254901961,0.49019607843137253,0.5392156862745098,0.6078431372549019,60.5392156862745,15,Backbone
27,MN,441253.52290211775,424566.08921017643,462095.0910780144,49,42,0.6649653947298576,0.3350346052701424,0.017084908520708764,0.803921568627451,0.4117647058823529,0.5392156862745098,0.6078431372549019,59.068627450980394,16,Internal
55,WI,438893.21099437546,422104.02586155315,459564.4141549454,49,42,0.6998094506969627,0.30019054930303735,0.01715088097380013,0.7647058823529411,0.45098039215686275,0.5392156862745098,0.6078431372549019,59.068627450980394,17,Internal
32,NV,103415.2704637575,94476.09026529716,110193.91203857426,49,42,0.5879862860715371,0.412013713928463,0.031257542132022254,0.23529411764705882,0.9607843137254902,0.5392156862745098,0.6078431372549019,58.57843137254902,18,Backbone
39,OH,559352.6362451437,538084.6058432721,584058.7446861813,49,42,0.5594509464831222,0.44054905351687773,0.016532323145252326,0.8823529411764706,0.29411764705882354,0.5392156862745098,0.6078431372549019,58.08823529411765,19,Backbone
37,NC,408816.2009347705,392730.48556145804,427571.90598746046,49,42,0.5993519929531186,0.40064800704688136,0.01714509573351153,0.7254901960784313,0.43137254901960786,0.5392156862745098,0.6078431372549019,57.59803921568627,20,Backbone
48,TX,1778594.623477659,1721388.2560227783,1845478.7938186503,49,42,0.8000852442449117,0.19991475575508824,0.014018888147881103,1.0,0.11764705882352941,0.5392156862745098,0.6078431372549019,56.61764705882353,21,Internal
20,KS,316266.18199295044,303996.17343241756,331503.3243538033,49,42,0.6968027760239103,0.30319722397608956,0.01747548509508312,0.5686274509803921,0.5490196078431373,0.5392156862745098,0.6078431372549019,56.61764705882353,22,Internal
51,VA,383263.1922895575,369504.2328144696,401264.9017481833,49,42,0.6331725538791424,0.36682744612085766,0.016628665692372202,0.7058823529411765,0.3333333333333333,0.5392156862745098,0.6078431372549019,54.656862745098046,23,Internal
49,UT,175097.15104070352,167546.6401116325,183943.6234285243,49,42,0.746017269570044,0.2539827304299561,0.01884895139873044,0.35294117647058826,0.6862745098039216,0.5392156862745098,0.6078431372549019,54.656862745098046,24,Internal
08,CO,205979.06022255038,197784.85713526257,216931.37784348265,49,42,0.7787081290652212,0.22129187093477876,0.018652058968872343,0.4117647058823529,0.6274509803921569,0.5392156862745098,0.6078431372549019,54.65686274509803,25,Internal
16,ID,120806.78988273439,115516.40699126937,126997.68816366003,49,42,0.6556910414339114,0.3443089585660885,0.01913197717918047,0.2549019607843137,0.7843137254901961,0.5392156862745098,0.6078431372549019,54.65686274509803,26,Internal
