year,base_interstate_total,shock_interstate_total,loss_abs,loss_pct
2025,2751381.050920925,2751381.050920925,0.0,0.0
2026,2769426.7783944895,2595634.602943219,173792.17545127077,0.0627538437943547
2027,2794253.578056054,2718201.146928931,76052.43112712307,0.027217440723483765
2028,2817088.2458876525,2778708.2106116433,38380.035276009236,0.013624008879393783
2029,2839232.13687576,2829103.711650114,10128.42522564577,0.003567311419907675
2030,2860548.010343396,2855442.214572043,5105.795771352947,0.0017849012681804347
2031,2880781.837694029,2880781.837694029,0.0,0.0
