model_name,feature_set,split,row_count,rmse,mae,r2
random_forest,plus_both,test_2023,173612,322.55911938088974,37.76667363368784,0.9397235791426187
random_forest,baseline_rf_population,test_2023,173612,332.0941116278256,38.396069741365196,0.9361073123205916
xgboost,plus_accidents,test_2023,173612,434.8214223232248,45.886870536302055,0.8904655652060139
xgboost,plus_both,test_2023,173612,454.4725676456598,46.9267909927999,0.8803413345351435
xgboost,baseline_rf_population,test_2023,173612,512.2012523853124,49.41955557684889,0.8480117274250647
random_forest,plus_both,test_2024,173612,471.69944155881024,46.51783932365614,0.8727291427301294
random_forest,baseline_rf_population,test_2024,173612,507.9041961848822,51.105330269010516,0.8524423102546309
xgboost,plus_both,test_2024,173612,589.386420312389,60.201180757000834,0.8012997123143619
xgboost,plus_accidents,test_2024,173612,620.1113616837401,58.071191034497964,0.7800430837211935
xgboost,baseline_rf_population,test_2024,173612,721.1487518578058,64.12702261611328,0.7025267230589747
random_forest,plus_both,validation,173612,307.82607086115604,36.64567805810235,0.9440912360937118
random_forest,baseline_rf_population,validation,173612,311.26448156697876,36.711359993361675,0.9428352610226572
xgboost,plus_accidents,validation,173612,403.9910338654226,45.7956210441317,0.903703046976394
xgboost,plus_both,validation,173612,417.8295748528686,46.330423870064166,0.8969928321418766
xgboost,baseline_rf_population,validation,173612,462.4962768431839,49.15933544056123,0.8737923807209949
